Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-06-06 18:16:59,false,"Reading - Easy Run","4.03","234","00:30:00","170","182","175","188","7:27","6:41","65","70","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:41.43.8","6","0.0","00:29:56","00:30:00","37","95"
Running,2022-06-04 16:52:56,false,"Reading - Benchmark Run","1.28","69","00:09:00.0","160","172","178","190","7:03","6:33","3","3","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","3","0.0","00:09:00.0","00:09:00.0","36","41"
Running,2022-05-07 12:45:04,false,"Appiano Gentile Running","5.01","285","00:36:14","166","182","178","191","7:14","5:54","24","24","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.80.2","6","0.0","00:36:07","00:36:14","335","349"
Running,2022-04-25 18:31:39,false,"Reading Running","6.45","361","00:48:04","163","183","176","186","7:27","6:46","8","14","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:03.37.8","7","0.0","00:48:01","00:48:04","26","51"
Running,2022-04-23 17:55:27,false,"Reading Running","10.01","598","01:13:57","170","180","178","188","7:23","6:23","42","45","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.97.7","11","0.0","01:13:51","01:13:57","28","64"
Running,2022-04-18 17:44:29,false,"Reading Running","5.01","286","00:36:10","164","180","176","184","7:13","6:06","13","16","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.49.8","6","0.0","00:36:08","00:36:10","35","54"
Running,2022-04-16 13:48:20,false,"Reading Running","8.19","484","01:00:06","167","183","175","188","7:20","6:12","11","16","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:24.01.3","9","0.0","01:00:01","01:00:06","24","45"
Running,2022-04-14 18:20:42,false,"Reading Running","6.01","357","00:43:55","167","181","176","184","7:18","6:20","52","56","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.74","7","0.0","00:43:49","00:43:55","36","78"
Running,2022-04-11 18:14:47,false,"Reading Running","5.01","303","00:35:39","169","185","177","188","7:06","6:21","33","35","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.09.2","6","0.0","00:35:26","00:35:39","35","55"
Running,2022-03-08 18:03:40,false,"Reading - Easy Run","6.32","362","00:44:00","161","182","180","192","6:58","6:12","1","4","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:17.85.2","7","0.0","00:43:57","00:44:00","28","55"
Running,2022-03-05 13:30:01,false,"Reading - Negative Split R","10.56","636","01:19:39","163","180","177","188","7:33","6:40","19","21","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:05.70.9","11","0.0","01:19:32","01:19:39","34","66"
Running,2022-03-03 17:46:52,false,"Reading - Pace Run","6.44","386","00:43:15","168","184","179","194","6:43","5:42","13","15","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:20.20.5","8","0.0","00:43:12","00:43:15","18","45"
Running,2022-03-02 18:33:26,false,"Reading - Easy Run","4.30","252","00:32:59","156","164","175","188","7:40","6:59","44","45","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:39.38.9","5","0.0","00:32:35","00:33:15","1","45"
Running,2022-02-28 18:47:56,false,"Reading - Tired Run","4.83","250","00:34:28","145","165","175","190","7:08","6:15","28","44","0.80","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:52.97.6","5","0.0","00:34:27","00:34:28","-13","46"
Running,2022-02-26 14:28:32,false,"Reading - Negative Split R","17.70","1,114","02:21:57","164","179","174","190","8:01","7:00","65","64","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:53.22","19","0.0","02:21:49","02:21:57","30","65"
Running,2022-02-20 11:12:45,false,"Trieste - Negative Split R","14.49","985","01:55:14","166","186","175","189","7:57","4:47","1,749","1,735","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.20.4","16","0.0","01:54:27","01:55:14","-21","135"
Running,2022-02-13 10:34:43,false,"Trieste - Negative Split R","10.46","636","01:12:17","169","184","179","201","6:55","5:27","28","153","0.81","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:27.90.3","12","0.0","01:12:14","01:12:17","1","131"
Running,2022-02-08 07:29:26,false,"Trieste - Easy Run","8.05","433","00:56:49","152","178","179","197","7:04","5:41","22","133","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:21.39.3","9","0.0","00:56:44","00:56:49","--","124"
Running,2022-02-06 11:11:51,false,"Trieste - Negative Split R","13.21","777","01:36:45","165","185","177","202","7:19","4:23","66","187","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:19.67.7","15","0.0","01:36:26","01:36:45","--","128"
Running,2022-02-03 07:52:34,false,"Trieste - Hill Repeats","3.52","218","00:33:04","148","161","169","191","9:24","7:17","92","94","0.63","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.21.3","34","0.0","00:32:48","00:33:04","129","175"
